"Story","Title","Result","Date","Stability","Duration (s)"
"FollowFollowCommunity","POST - Follow | Follow community","SUCCESS","2022-07-15T19:33:19.147+07:00[Asia/Bangkok]","0.0","6.9"
"FollowFollowUser","POST - Follow | Follow user","SUCCESS","2022-07-15T19:33:26.122+07:00[Asia/Bangkok]","0.0","0.97"
"FollowUnfollowCommunity","POST - Follow | Unfollow community","SUCCESS","2022-07-15T19:33:27.166+07:00[Asia/Bangkok]","0.0","0.74"
"FollowUnfollowUser","POST - Follow | Unfollow user","SUCCESS","2022-07-15T19:33:27.936+07:00[Asia/Bangkok]","0.0","0.77"
"ReportCategoryCreate","POST - Report Category | Create New Data","SUCCESS","2022-07-15T19:33:28.735+07:00[Asia/Bangkok]","0.0","1.15"
"ReportCategoryDetail","GET - Report Category | Get Detail Data","SUCCESS","2022-07-15T19:33:29.911+07:00[Asia/Bangkok]","0.0","0.65"
"ReportCategoryGet","GET - Report Category | Get List Data","SUCCESS","2022-07-15T19:33:30.611+07:00[Asia/Bangkok]","0.0","0.88"
"ReportCategoryUpdate","PUT - Report Category | Update Existing Data","SUCCESS","2022-07-15T19:33:31.526+07:00[Asia/Bangkok]","0.0","1.24"
"ReportThread","GET - Thread | Get List Reported Thread","SUCCESS","2022-07-15T19:33:32.812+07:00[Asia/Bangkok]","0.0","0.68"
"ThreadCreate","POST - Thread | Create New Data","SUCCESS","2022-07-15T19:33:33.509+07:00[Asia/Bangkok]","0.0","1.21"
"ThreadDelete","DELETE - Thread | Delete Existing Data","SUCCESS","2022-07-15T19:33:34.752+07:00[Asia/Bangkok]","0.0","1.11"
"ThreadDetail","GET - Thread | Get Detail Data","SUCCESS","2022-07-15T19:33:35.893+07:00[Asia/Bangkok]","0.0","0.82"
"ThreadDownvotes","POST - Thread | Down Votes Existing Thread Data","SUCCESS","2022-07-15T19:33:36.737+07:00[Asia/Bangkok]","0.0","0.76"
"ThreadGet","GET - Thread | Get List Data","SUCCESS","2022-07-15T19:33:37.518+07:00[Asia/Bangkok]","0.0","0.84"
"ThreadGetSaveThread","GET - Thread | Get List Data Thread Saved","SUCCESS","2022-07-15T19:33:38.387+07:00[Asia/Bangkok]","0.0","0.73"
"ThreadReportThread","POST - Thread | Report Existing Thread Data","SUCCESS","2022-07-15T19:33:39.134+07:00[Asia/Bangkok]","0.0","0.82"
"ThreadSaveThread","POST - Thread | Report Existing Thread Data","SUCCESS","2022-07-15T19:33:39.99+07:00[Asia/Bangkok]","0.0","0.79"
"ThreadUndoDownvotes","DELETE - Thread | Undo Down Votes Existing Thread Data","SUCCESS","2022-07-15T19:33:40.797+07:00[Asia/Bangkok]","0.0","0.7"
"ThreadUndoUpvotes","DELETE - Thread | Undo Up Votes Existing Thread Data","SUCCESS","2022-07-15T19:33:41.514+07:00[Asia/Bangkok]","0.0","0.8"
"ThreadUpdate","POST - Thread | Update Existing Data","SUCCESS","2022-07-15T19:33:42.337+07:00[Asia/Bangkok]","0.0","1.06"
"ThreadUpvotes","POST - Thread | Up Votes Existing Thread Data","SUCCESS","2022-07-15T19:33:43.419+07:00[Asia/Bangkok]","0.0","0.92"
