"Story","Title","Result","Date","Stability","Duration (s)"
"FollowFollowCommunity","POST - Follow | Follow community","SUCCESS","2022-07-21T22:46:23.882+07:00[Asia/Bangkok]","0.0","24.28"
"FollowFollowUser","POST - Follow | Follow user","SUCCESS","2022-07-21T22:46:48.343+07:00[Asia/Bangkok]","0.0","1.19"
"FollowUnfollowCommunity","POST - Follow | Unfollow community","SUCCESS","2022-07-21T22:46:49.734+07:00[Asia/Bangkok]","0.0","0.65"
"FollowUnfollowUser","POST - Follow | Unfollow user","SUCCESS","2022-07-21T22:46:50.602+07:00[Asia/Bangkok]","0.0","1.04"
"ReportCategoryCreate","POST - Report Category | Create New Data","SUCCESS","2022-07-21T22:46:51.696+07:00[Asia/Bangkok]","0.0","2.27"
"ReportCategoryDetail","GET - Report Category | Get Detail Data","SUCCESS","2022-07-21T22:46:54.263+07:00[Asia/Bangkok]","0.0","1.35"
"ReportCategoryGet","GET - Report Category | Get List Data","SUCCESS","2022-07-21T22:46:56.005+07:00[Asia/Bangkok]","0.0","1.03"
"ReportCategoryUpdate","PUT - Report Category | Update Existing Data","SUCCESS","2022-07-21T22:46:57.312+07:00[Asia/Bangkok]","0.0","1.52"
"ReportThread","GET - Thread | Get List Reported Thread","SUCCESS","2022-07-21T22:46:58.984+07:00[Asia/Bangkok]","0.0","0.68"
"ThreadCreate","POST - Thread | Create New Data","SUCCESS","2022-07-21T22:46:59.786+07:00[Asia/Bangkok]","0.0","1.0"
"ThreadDelete","DELETE - Thread | Delete Existing Data","SUCCESS","2022-07-21T22:47:00.864+07:00[Asia/Bangkok]","0.0","0.71"
"ThreadDetail","GET - Thread | Get Detail Data","SUCCESS","2022-07-21T22:47:01.636+07:00[Asia/Bangkok]","0.0","1.3"
"ThreadDownvotes","POST - Thread | Down Votes Existing Thread Data","SUCCESS","2022-07-21T22:47:03.148+07:00[Asia/Bangkok]","0.0","0.76"
"ThreadGet","GET - Thread | Get List Data","SUCCESS","2022-07-21T22:47:04.054+07:00[Asia/Bangkok]","0.0","1.67"
"ThreadGetSaveThread","GET - Thread | Get List Data Thread Saved","SUCCESS","2022-07-21T22:47:05.787+07:00[Asia/Bangkok]","0.0","2.03"
"ThreadReportThread","POST - Thread | Report Existing Thread Data","SUCCESS","2022-07-21T22:47:08.173+07:00[Asia/Bangkok]","0.0","0.79"
"ThreadSaveThread","POST - Thread | Report Existing Thread Data","SUCCESS","2022-07-21T22:47:09.269+07:00[Asia/Bangkok]","0.0","0.85"
"ThreadUndoDownvotes","DELETE - Thread | Undo Down Votes Existing Thread Data","SUCCESS","2022-07-21T22:47:10.172+07:00[Asia/Bangkok]","0.0","0.5"
"ThreadUndoUpvotes","DELETE - Thread | Undo Up Votes Existing Thread Data","SUCCESS","2022-07-21T22:47:10.715+07:00[Asia/Bangkok]","0.0","0.43"
"ThreadUpdate","POST - Thread | Update Existing Data","SUCCESS","2022-07-21T22:47:11.224+07:00[Asia/Bangkok]","0.0","1.75"
"ThreadUpvotes","POST - Thread | Up Votes Existing Thread Data","SUCCESS","2022-07-21T22:47:13.182+07:00[Asia/Bangkok]","0.0","1.1"
